attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,total_duration,total_length,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,calculated_total_cost
A00030,ret,1,CAR,104.16694,66.05,,,,,,,,,,,,,,,,,,,,,,,,,66.05,104.16694,,,,,,,,,,20000.05248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.05248,44.2709495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2709495
A00031,ret,1,BICYCLE,24.32182,84.7,,,,,,,,,,,,,,,,,,,,,,,,,84.7,24.32182,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00032,ret,1,BICYCLE,14.022530000000001,49.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,49.333333333333336,14.022530000000001,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00033,ret,1,BICYCLE,18.048119999999997,65.08333333333333,,,,,,,,,,,,,,,,,,,,,,,,,65.08333333333333,18.048119999999997,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00034,ret,1,CAR,87.29939999999999,58.38333333333333,,,,,,,,,,,,,,,,,,,,,,,,,58.38333333333333,87.29939999999999,,,,,,,,,,16761.4848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16761.4848,37.102244999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.102244999999996
A00035,ret,1,CAR,132.70716000000002,89.76666666666667,,,,,,,,,,,,,,,,,,,,,,,,,89.76666666666667,132.70716000000002,,,,,,,,,,25479.77472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25479.77472,56.400543000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.400543000000006
A00036,ret,1,BICYCLE,17.32084,61.21666666666667,,,,,,,,,,,,,,,,,,,,,,,,,61.21666666666667,17.32084,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00037,ret,1,CAR,82.95291999999999,53.31666666666667,,,,,,,,,,,,,,,,,,,,,,,,,53.31666666666667,82.95291999999999,,,,,,,,,,15926.960639999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15926.960639999998,35.254991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.254991
A00038,ret,1,BICYCLE,15.18267,52.86666666666667,,,,,,,,,,,,,,,,,,,,,,,,,52.86666666666667,15.18267,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00039,ret,1,CAR,78.32836999999999,56.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,56.766666666666666,78.32836999999999,,,,,,,,,,15039.047039999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15039.047039999998,33.289557249999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.289557249999994
