attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,total_duration,total_length,leg1_carbon,leg2_carbon,leg3_carbon,leg4_carbon,leg5_carbon,leg6_carbon,leg7_carbon,leg8_carbon,leg9_carbon,leg10_carbon,leg11_carbon,leg12_carbon,leg13_carbon,calculated_total_carbon_footprint,leg1_cost,leg2_cost,leg3_cost,leg4_cost,leg5_cost,leg6_cost,leg7_cost,leg8_cost,leg9_cost,leg10_cost,leg11_cost,leg12_cost,leg13_cost,calculated_total_cost
A00043,dep,1,WALK,3.22947,41.68333333333333,RAIL,81.42232000000001,52.0,RAIL,26.52879,20.0,WALK,0.31374,4.516666666666667,BUS,4.659020000000001,9.0,WALK,1.7693,22.8,,,,,,,,,,,,,,,,,,,,,,150.0,117.92264000000002,0.0,3338.3151200000007,1087.68039,0.0,489.1971000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4915.192610000001,0.0,12.213348000000002,3.9793184999999998,0.0,0.9318040000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1244705
A00044,dep,1,CAR,179.62,117.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.5,179.62,34487.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34487.04,76.3385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3385
A00045,dep,2,WALK,0.53373,6.9,BUS,23.90452,33.0,WALK,0.20827,3.333333333333333,RAIL,27.30083,15.0,WALK,0.14239,2.066666666666667,RAIL,87.86362,50.0,WALK,0.19712,2.933333333333333,RAIL,47.92513,27.0,WALK,0.2566,3.216666666666667,RAIL,21.83171,17.0,WALK,0.31374,4.516666666666667,BUS,4.659020000000001,9.0,WALK,1.7693,22.8,196.7666666666667,216.90598,0.0,2509.9746,0.0,1119.33403,0.0,3602.4084199999998,0.0,1964.9303300000001,0.0,895.1001100000001,0.0,489.1971000000001,0.0,10580.944589999997,0.0,4.7809040000000005,0.0,4.0951245,0.0,13.179542999999999,0.0,7.1887695,0.0,3.2747565,0.0,0.9318040000000002,0.0,33.4509015
A00046,dep,1,WALK,5.29686,67.18333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.18333333333334,5.29686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00047,dep,1,WALK,6.08002,77.31666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.31666666666666,6.08002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00048,dep,1,WALK,11.51904,148.11666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.11666666666667,11.51904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00049,dep,1,WALK,12.0118,154.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.25,12.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00050,dep,1,BICYCLE,29.95185,104.78333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.78333333333332,29.95185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00051,dep,1,WALK,6.91105,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4,6.91105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A00052,dep,1,WALK,2.42179,30.78333333333333,BUS,5.26608,8.0,WALK,0.08066,1.2,BUS,31.23744,27.0,WALK,0.132,2.05,RAIL,75.00341,57.0,WALK,0.16293,2.45,RAIL,87.86362,50.0,WALK,0.19712,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,284.3333333333333,292.38958,0.0,552.9384,0.0,3279.9312,0.0,3075.13981,0.0,3602.4084199999998,0.0,3280.12136,0.0,752.3081999999999,0.0,14542.847389999999,0.0,1.053216,0.0,6.247488000000001,0.0,11.2505115,0.0,13.179542999999999,0.0,12.000444,0.0,1.432968,0.0,45.164170500000004
