road,direction,mode,total_uses,00:00–01:00,01:00–02:00,02:00–03:00,03:00–04:00,04:00–05:00,05:00–06:00,06:00–07:00,07:00–08:00,08:00–09:00,09:00–10:00,10:00–11:00,11:00–12:00,12:00–13:00,13:00–14:00,14:00–15:00,15:00–16:00,16:00–17:00,17:00–18:00,18:00–19:00,19:00–20:00,20:00–21:00,21:00–22:00,22:00–23:00,23:00–00:00
Cotentinlaan,departure,WALK,1150,0,0,0,0,0,0,0,0,0,1,29,131,261,232,171,124,79,60,47,12,3,0,0,0
A6,departure,CAR,1145,0,0,0,0,0,0,0,0,0,0,20,123,246,239,174,136,73,59,63,12,0,0,0,0
Oude Bossche Baan,departure,WALK,1139,0,0,0,0,0,0,0,0,0,1,29,132,261,234,165,121,80,58,47,9,2,0,0,0
Schelde-Rheinroute - 05 - Hilvarenbeek - Stad van Gerwen,return,BICYCLE,1136,376,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,536
Postkoetsweg,return,CAR,1135,400,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,499
Savoiepad,departure,WALK,1124,0,0,0,0,0,0,0,0,0,1,29,131,259,230,165,118,76,58,45,9,3,0,0,0
Auvergnelaan,departure,WALK,1123,0,0,0,0,0,0,0,0,0,1,29,131,259,230,165,117,76,58,45,9,3,0,0,0
Correzelaan,departure,WALK,1123,0,0,0,0,0,0,0,0,0,1,29,131,259,230,165,117,76,58,45,9,3,0,0,0
Poot van Metz,return,CAR,1113,389,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,489
Ring Tilburg,return,CAR,1110,372,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,513
A15,departure,CAR,1108,0,0,0,0,0,0,0,0,0,0,0,18,121,228,214,167,139,84,68,54,15,0,0,0
A15,return,CAR,1106,386,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,523
Ring Tilburg,departure,CAR,1096,0,0,0,0,0,0,0,0,0,0,1,22,112,194,231,180,141,91,54,49,20,1,0,0
Oude Bossche Baan,return,BICYCLE,1085,389,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,476
Poot van Metz,departure,CAR,1080,0,0,0,0,0,0,0,0,0,0,0,1,27,149,245,208,164,102,68,64,44,8,0,0
Kruisstraat,return,BICYCLE,1078,384,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,475
Doctor Berlagelaan,return,BICYCLE,1076,384,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,472
Woenselse Markt,return,BICYCLE,1072,382,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,471
Kloosterdreef,return,BICYCLE,1072,382,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,471
Fellenoordpad,return,BICYCLE,1070,381,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,470
Kruisstraattunnel,return,BICYCLE,1070,381,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,470
