attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,leg14_mode,leg14_length,leg14_duration,leg15_mode,leg15_length,leg15_duration,total_duration,total_length
A00054,ret,1,WALK,6.7576,85.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,6.7576
A00054,ret,1,BICYCLE,6.83227,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,6.83227
A00054,ret,1,CAR,11.20798,15.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.433333333333334,11.20798
A00055,ret,1,CAR,80.60901,62.68333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.68333333333333,80.60901
A00056,ret,1,WALK,14.212909999999999,182.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.05,14.212909999999999
A00056,ret,1,BICYCLE,15.38519,58.71666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.71666666666667,15.38519
A00056,ret,1,CAR,17.20969,18.383333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.383333333333333,17.20969
A00057,ret,1,WALK,12.59888,160.13333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.13333333333333,12.59888
A00057,ret,1,BICYCLE,12.83383,45.583333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.583333333333336,12.83383
A00057,ret,1,CAR,20.0552,23.866666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.866666666666667,20.0552
A00058,ret,1,BICYCLE,26.99916,95.31666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.31666666666666,26.99916
A00058,ret,1,CAR,28.14063,26.283333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.283333333333335,28.14063
A00059,ret,1,WALK,1.77009,22.8,BUS,4.76383,12.0,WALK,0.3326,4.85,RAIL,10.23582,10.0,RAIL,107.52636,69.0,RAIL,22.75021,19.0,WALK,1.69801,24.916666666666668,RAIL,3.62168,6.0,WALK,3.30458,42.78333333333333,,,,,,,,,,,,,,,,,,,211.35,156.00318
A00059,ret,2,WALK,1.7692999999999999,22.8,BUS,9.71358,21.0,WALK,0.18037,2.55,RAIL,80.00296,46.0,RAIL,99.15544,81.0,WALK,1.66077,22.683333333333334,RAIL,3.62168,6.0,WALK,3.30458,42.78333333333333,,,,,,,,,,,,,,,,,,,,,,244.81666666666666,199.40868
A00059,ret,1,CAR,132.78620999999998,85.76666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.76666666666667,132.78620999999998
A00060,ret,1,WALK,4.72949,60.11666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.11666666666667,4.72949
A00060,ret,1,BICYCLE,4.96642,18.116666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.116666666666667,4.96642
A00060,ret,1,CAR,6.6055,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,6.6055
A00061,ret,1,CAR,247.99093,155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.25,247.99093
A00062,ret,1,WALK,10.35979,133.91666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.91666666666666,10.35979
A00062,ret,2,WALK,1.77009,22.8,BUS,4.76383,12.0,WALK,0.31376,4.5,RAIL,10.246120000000001,9.0,WALK,2.28382,29.333333333333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.63333333333333,19.37762
A00062,ret,1,BICYCLE,11.54847,42.21666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.21666666666667,11.54847
A00062,ret,1,CAR,12.069120000000002,12.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.95,12.069120000000002
A00063,ret,1,CAR,175.44887,112.93333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.93333333333334,175.44887
A00064,ret,1,CAR,126.1018,83.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.7,126.1018
A00065,ret,1,CAR,108.8115,76.28333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.28333333333333,108.8115
A00067,ret,1,BICYCLE,50.68613,176.36666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.36666666666667,50.68613
A00067,ret,1,CAR,49.69682,38.03333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.03333333333333,49.69682
