attendee_id,direction,trip_option,leg1_mode,leg1_length,leg1_duration,leg2_mode,leg2_length,leg2_duration,leg3_mode,leg3_length,leg3_duration,leg4_mode,leg4_length,leg4_duration,leg5_mode,leg5_length,leg5_duration,leg6_mode,leg6_length,leg6_duration,leg7_mode,leg7_length,leg7_duration,leg8_mode,leg8_length,leg8_duration,leg9_mode,leg9_length,leg9_duration,leg10_mode,leg10_length,leg10_duration,leg11_mode,leg11_length,leg11_duration,leg12_mode,leg12_length,leg12_duration,leg13_mode,leg13_length,leg13_duration,leg14_mode,leg14_length,leg14_duration,leg15_mode,leg15_length,leg15_duration,total_duration,total_length
A00018,dep,1,WALK,12.024709999999999,152.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.66666666666666,12.024709999999999
A00018,dep,2,WALK,0.25349,3.283333333333333,BUS,7.19529,16.0,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.05,17.0126
A00018,dep,3,WALK,0.94023,12.2,BUS,5.31512,12.0,WALK,0.08479,1.3,BUS,4.3455699999999995,10.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.26666666666667,13.08469
A00018,dep,4,WALK,0.94023,12.2,BUS,5.31512,12.0,WALK,0.08479,1.3,BUS,6.91783,14.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,15.02806
A00018,dep,5,WALK,0.25349,3.283333333333333,BUS,7.19529,16.0,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.08333333333333,18.95597
A00018,dep,1,BICYCLE,12.8062,46.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.666666666666664,12.8062
A00018,dep,1,CAR,16.14047,16.683333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.683333333333334,16.14047
A00019,dep,1,WALK,0.18899000000000002,2.5833333333333335,BUS,11.63433,21.0,WALK,0.17166,2.466666666666667,RAIL,40.11278,28.0,WALK,0.41041000000000005,6.016666666666667,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,107.83333333333333,62.08199
A00019,dep,2,WALK,2.1238099999999998,27.666666666666668,RAIL,49.976440000000004,35.0,WALK,0.41041000000000005,6.016666666666667,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.45,62.07448
A00019,dep,3,WALK,2.1238099999999998,27.666666666666668,RAIL,49.976440000000004,35.0,WALK,0.41041000000000005,6.016666666666667,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.45,62.07448
A00019,dep,4,WALK,0.18794999999999998,2.566666666666667,BUS,2.82865,5.0,WALK,0.29234,4.45,RAIL,49.976440000000004,35.0,WALK,0.41041000000000005,6.016666666666667,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,100.8,63.25961
A00019,dep,1,BICYCLE,60.19392,206.58333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.58333333333334,60.19392
A00019,dep,1,CAR,68.42064,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,68.42064
A00020,dep,1,WALK,2.4704,31.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.65,2.4704
A00020,dep,1,BICYCLE,2.47775,9.716666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.716666666666667,2.47775
A00020,dep,1,CAR,2.717,4.483333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.483333333333333,2.717
A00021,dep,1,WALK,3.2356599999999998,41.05,BUS,14.68591,29.0,WALK,0.09669,1.4833333333333334,RAIL,64.69368,39.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,48.0,WALK,0.45792,6.15,BUS,9.7371,20.0,WALK,1.77009,22.8,,,,,,,,,,,,,,,,,,,210.41666666666669,174.87713
A00021,dep,2,WALK,3.2356599999999998,41.05,BUS,14.68591,29.0,WALK,0.09669,1.4833333333333334,RAIL,64.69368,39.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,47.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,214.38333333333333,172.93375999999998
A00021,dep,1,CAR,124.88102,82.83333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.83333333333333,124.88102
A00022,dep,1,WALK,1.35192,17.283333333333335,BUS,5.33488,15.0,WALK,1.19665,15.766666666666667,RAIL,16.676299999999998,17.0,WALK,0.14296999999999999,2.1333333333333333,RAIL,93.71414,55.0,WALK,0.26027,3.783333333333333,RAIL,87.86362,50.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,281.81666666666666,296.7624
A00022,dep,2,WALK,1.35192,17.283333333333335,BUS,4.305470000000001,15.0,WALK,0.07976000000000001,1.25,RAIL,16.676299999999998,17.0,WALK,0.17877,2.5833333333333335,RAIL,181.57776,113.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,271.9666666666667,294.39163
A00022,dep,3,WALK,1.35192,17.283333333333335,BUS,5.33488,15.0,WALK,1.19665,15.766666666666667,RAIL,16.676299999999998,17.0,WALK,0.14296999999999999,2.1333333333333333,RAIL,93.71414,55.0,WALK,0.26027,3.783333333333333,RAIL,87.86362,50.0,WALK,0.19712000000000002,2.933333333333333,RAIL,80.00296,49.0,WALK,0.45775,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,281.81666666666666,296.7624
A00022,dep,1,CAR,232.05970000000002,145.38333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.38333333333333,232.05970000000002
A00023,dep,1,WALK,0.59397,7.65,BUS,36.38925,54.0,WALK,0.16061,4.383333333333334,SUBWAY,17.57747,29.75,WALK,0.17991,5.05,RAIL,103.88054,62.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,216.75,168.80348999999998
A00023,dep,1,CAR,138.76157999999998,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,138.76157999999998
A00024,dep,1,WALK,2.1160900000000002,28.25,RAIL,36.83714,22.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.16666666666667,48.97497
A00024,dep,2,WALK,2.1160900000000002,28.25,RAIL,36.83714,22.0,WALK,0.45792,6.15,BUS,7.16484,17.0,WALK,2.39898,30.766666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.16666666666667,48.97497
A00024,dep,1,BICYCLE,29.067619999999998,103.76666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.76666666666667,29.067619999999998
