attendee_id,direction,routes_used
A03290,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Leeuwarden - Drachten - Heerenveen 20', 'Schiphol Airport <-> Leeuwarden IC800 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03290,return,"['Best Station - Eindhoven Station 9', 'Leeuwarden - Drachten - Heerenveen 20', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity', 'Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal Intercity', 'Schiphol Airport <-> Leeuwarden IC800 Intercity', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter']"
A03381,departure,"['Den Haag Centraal <-> Enschede IC1700 Intercity', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Enschede CS - Helmerhoek 5', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03383,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A03383,return,['Best Station - Eindhoven Station 9']
A03440,departure,['Best Station - Eindhoven Station 9']
A03440,return,['Best Station - Eindhoven Station 9']
A03462,departure,['Best Station - Eindhoven Station 9']
A03464,departure,"['Enkhuizen <-> Maastricht IC2900 Intercity', 'Sittard via Schinveld - Brunssum 36', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03477,departure,"['Dordrecht <-> Venlo IC3500 Intercity', 'Leiden - Schiphol 365', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03482,departure,['Best Station - Eindhoven Station 9']
A03494,departure,"['Best Station - Eindhoven Station 9', 'Breda <-> Amersfoort Schothorst ICD1800 Intercity direct', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter', 'Zwolle <-> Roosendaal IC3600 Intercity', 'lijn C']"
A03513,departure,['Best Station - Eindhoven Station 9']
A03578,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A03586,departure,"['Dordrecht <-> Venlo IC3500 Intercity', ""R'dam Kralingse Zoom - Papendrecht - Utrecht 388"", 'Son - Ekkersrijt - Eindhoven Station 406']"
A03631,departure,"['Best Station - Eindhoven Station 9', 'Den Haag Centraal <-> Enschede IC1700 Intercity', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Overdinkel - Enschede 61']"
A03650,departure,"['Best Station - Eindhoven Station 9', 'Breda <-> Amersfoort Schothorst ICD1800 Intercity direct', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter', 'Vlissingen <-> Amsterdam Centraal IC2200 Intercity', 'Zwolle <-> Roosendaal IC3600 Intercity', 'lijn B']"
A03688,departure,['Best Station - Eindhoven Station 9']
A03688,return,['Best Station - Eindhoven Station 9']
A03699,departure,"[""'s-Gravenzande via Naaldwijk en Delft - Zoetermeer 455"", 'Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03713,departure,"['Amsterdam Noord via Edam - Hoorn 314', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03713,return,"[""'s-Hertogenbosch <-> Deurne SPR4400 Sprinter"", 'Amsterdam Centraal via Edam - Hoorn N14', 'Best Station - Eindhoven Station 9', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity', 'Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal Intercity']"
A03719,departure,['Best Station - Eindhoven Station 9']
A03743,departure,"['Den Haag Centraal <-> Groningen IC500 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Hindeloopen Museum - Station 9411', 'Leeuwarden <-> Stavoren ST37100 Stoptrein RS3', 'Schiphol Airport <-> Leeuwarden IC800 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03756,departure,"['Dordrecht <-> Venlo IC3500 Intercity', 'Nijmegen - Venlo 83', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03766,departure,"['Den Haag Centraal <-> Enschede IC1700 Intercity', 'Eindhoven Achtse Barrier - Station 405', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Overdinkel - Almelo 66']"
A03773,departure,['Best Station - Eindhoven Station 9']
A03776,return,"['Best Station - Eindhoven Station 9', 'Den Helder <-> Nijmegen IC3000 Intercity', 'Den Helder Station - Schagen Station 30', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity', 'Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal Intercity']"
A03802,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A03821,departure,"['Breukelen <-> Rhenen SPR7300 Sprinter', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'U-link Utrecht - Wageningen / Veenendaal 50']"
A03821,return,"[""'s-Hertogenbosch <-> Deurne SPR4400 Sprinter"", 'Best Station - Eindhoven Station 9', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity', 'Utrecht - Amerongen N50']"
A03860,departure,['Best Station - Eindhoven Station 9']
A03860,return,['Best Station - Eindhoven Station 9']
A03862,departure,"['Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity', 'Noordwijk - Katwijk - Den Haag 385', 'Son - Ekkersrijt - Eindhoven Station 406']"
A03944,departure,['Best Station - Eindhoven Station 9']
A04038,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A04038,return,['Best Station - Eindhoven Station 9']
A04052,departure,"['Best Station - Eindhoven Station 9', 'Breda <-> Amersfoort Schothorst ICD1800 Intercity direct', 'De Esch -Woudhoek 11', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter', 'Zwolle <-> Roosendaal IC3600 Intercity']"
A04052,return,"['Best Station - Eindhoven Station 9', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity', 'Tilburg Universiteit <-> Weert SPR6400 Sprinter']"
A04087,departure,"['Best Station - Eindhoven Station 9', 'Den Haag Centraal <-> Enschede IC1700 Intercity', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Oldenzaal via Ootmarsum - Almelo 64']"
A04202,departure,"[""'s-Gravenzande via Naaldwijk en Delft - Zoetermeer 455"", 'Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A04219,departure,"['Enkhuizen <-> Maastricht IC2900 Intercity', 'Maastricht via Epen - Gulpen 57', 'Son - Ekkersrijt - Eindhoven Station 406']"
A04280,departure,"['Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity', 'Noordwijk - Katwijk - Den Haag 385', 'Son - Ekkersrijt - Eindhoven Station 406']"
A04368,departure,['Best Station - Eindhoven Station 9']
A04368,return,['Best Station - Eindhoven Station 9']
A04378,departure,['Best Station - Eindhoven Station 9']
A04390,return,['Best Station - Eindhoven Station 9']
A04407,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A04407,return,['Best Station - Eindhoven Station 9']
A04437,departure,"['Best Station - Eindhoven Station 9', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Sittard via NedCar/Holtum en Born - Sittard. 17']"
A04524,departure,"['Den Haag Centraal <-> Leeuwarden IC600 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Lauwersoog - Dokkum - Leeuwarden 51', 'Son - Ekkersrijt - Eindhoven Station 406']"
A04564,departure,"['Arnhem Geitenkamp - Rijkerswoerd 7', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406', 'Zwolle <-> Roosendaal IC3600 Intercity']"
A04587,departure,"['Dordrecht <-> Venlo IC3500 Intercity', 'Harderwijk - Walibi Holland 247', 'Son - Ekkersrijt - Eindhoven Station 406', 'Utrecht Centraal <-> Zwolle SPR5600 Sprinter']"
A04592,departure,"['Amsterdam Centraal <-> Hoorn SPR4800 Sprinter', 'Den Helder <-> Nijmegen IC3000 Intercity', 'Dordrecht <-> Venlo IC3500 Intercity', 'Son - Ekkersrijt - Eindhoven Station 406']"
A04592,return,"[""'s-Hertogenbosch <-> Deurne SPR4400 Sprinter"", 'Best Station - Eindhoven Station 9', 'IJmuiden Dennekoplaan - Amsterdam Bijlmer ArenA N30', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity', 'Nachtnettrein Utrecht Centraal <-> Rotterdam Centraal Intercity']"
A04671,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A04706,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A04706,return,['Best Station - Eindhoven Station 9']
A04719,departure,['Son - Ekkersrijt - Eindhoven Station 406']
A04730,departure,"['Den Haag Centraal <-> Eindhoven Centraal IC1100 Intercity', 'Renesse - Spijkenisse Metro Centrum 104', 'Son - Ekkersrijt - Eindhoven Station 406', 'lijn D']"
A04733,departure,"['Amsterdam Centraal <-> Frankfurt (M) Hbf ICE100 ICE International', 'Arnhem Centraal <-> Winterswijk ST30900 Stoptrein RS32', 'Best Station - Eindhoven Station 9', 'Bocholt - Aalten C11', 'Enkhuizen <-> Maastricht IC2900 Intercity']"
A04738,departure,['Best Station - Eindhoven Station 9']
A04768,departure,"['Best Station - Eindhoven Station 9', 'Enkhuizen <-> Maastricht IC2900 Intercity', 'Leiden Centraal <-> Utrecht Centraal SPR5700 Sprinter']"
A04768,return,"[""'s-Hertogenbosch <-> Deurne SPR4400 Sprinter"", 'Almere Centrum <-> Utrecht Centraal SPR4900 Sprinter', 'Best Station - Eindhoven Station 9', 'Nachtnettrein Utrecht Centraal <-> Eindhoven Centraal Intercity']"
A04807,departure,['Best Station - Eindhoven Station 9']
